"abi","archive_version_year","company","address_line_1","city","state","employee_size_location","sales_volume_location","latitude","longitude","Category"
3282670,2023,"CHURCH'S TEXAS CHICKEN","1105 W MISSION BLVD","POMONA","CA",11,651,34.055108,-117.763559,"Fast Food"
3286929,2023,"TACO BELL","17182 BEACH BLVD","HUNTINGTON BEACH","CA",16,908,33.712891,-117.988611,"Fast Food"
4003414,2023,"DENNY'S","801 SIERRA ST","KINGSBURG","CA",50,2354,36.518375,-119.560663,"Full-Service Restaurant"
4516613,2023,"MC DONALD'S","700 W PACIFIC COAST HWY","NEWPORT BEACH","CA",45,2553,33.63889,-117.875105,"Fast Food"
4516498,2023,"DEL TACO","2408 E CHAPMAN AVE","FULLERTON","CA",32,1816,33.872983,-117.889291,"Fast Food"
4516506,2023,"DEL TACO","1720 SUPERIOR AVE","COSTA MESA","CA",40,2173,33.636521,-117.92288,"Fast Food"
4516688,2023,"MC DONALD'S","1526 W EDINGER AVE","SANTA ANA","CA",81,2326,33.726888,-117.888925,"Fast Food"
4516944,2023,"SIZZLER","1401 N HARBOR BLVD","FULLERTON","CA",20,1135,33.883871,-117.925692,"Full-Service Restaurant"
4706917,2023,"WIENERSCHNITZEL","2931 NILES ST","BAKERSFIELD","CA",10,518,35.375662,-118.952757,"Fast Food"
6980791,2023,"DEL TACO","1155 BAKER ST","COSTA MESA","CA",29,1646,33.679796,-117.905981,"Fast Food"
100014240,2023,"MC DONALD'S","8875 LIMONITE AVE","RIVERSIDE","CA",45,2306,33.9757,-117.47667,"Fast Food"
100029602,2023,"MC DONALD'S","825 E IMPERIAL HWY","BREA","CA",48,2723,33.913934,-117.892615,"Fast Food"
100031970,2023,"ROUND TABLE PIZZA ROYALTY","732 N BREA BLVD","BREA","CA",8,454,33.93045,-117.89394,"Fast Food"
100034719,2023,"WIENERSCHNITZEL","250 E LAMBERT RD","BREA","CA",17,965,33.924593,-117.89408,"Fast Food"
100046259,2023,"FLAME BROILER","2200 HARBOR BLVD # E110","COSTA MESA","CA",15,851,33.654547,-117.917787,"Fast Casual"
100048636,2023,"CARL'S JR","1550 ADAMS AVE","COSTA MESA","CA",18,1022,33.673555,-117.921785,"Fast Food"
100051457,2023,"DENNY'S","3170 HARBOR BLVD","COSTA MESA","CA",37,2099,33.686354,-117.919043,"Full-Service Restaurant"
100060912,2023,"DEL TACO","2956 BRISTOL ST","COSTA MESA","CA",25,1419,33.678743,-117.885466,"Fast Food"
100097658,2023,"CARL'S JR","34312 PACIFIC COAST HWY","DANA POINT","CA",20,1135,33.464808,-117.685657,"Fast Food"
100103092,2023,"CHUCK E CHEESE'S","26538 MOULTON PKWY # H","LAGUNA HILLS","CA",60,3404,33.577446,-117.702554,"Fast Food"
100107531,2023,"MC DONALD'S","23742 ROCKFIELD BLVD","LAKE FOREST","CA",39,2213,33.627782,-117.716234,"Fast Food"
100110311,2023,"SIZZLER","23501 EL TORO RD","LAKE FOREST","CA",32,1816,33.620973,-117.700605,"Full-Service Restaurant"
100115658,2023,"CARL'S JR/GREEN BURRITO","3240 YORBA LINDA BLVD","FULLERTON","CA",22,1248,33.888201,-117.868509,"Fast Food"
100123900,2023,"ROUND TABLE PIZZA ROYALTY","2506 E CHAPMAN AVE","FULLERTON","CA",24,1362,33.873682,-117.887315,"Fast Food"
100130384,2023,"DENNY'S","1375 S HARBOR BLVD","FULLERTON","CA",34,1929,33.857689,-117.924938,"Full-Service Restaurant"
100132786,2023,"IHOP","151 W ORANGETHORPE AVE","FULLERTON","CA",12,752,33.859764,-117.926398,"Full-Service Restaurant"
100132869,2023,"JACK IN THE BOX","1010 N HARBOR BLVD","FULLERTON","CA",13,738,33.879896,-117.924089,"Fast Food"
100133982,2023,"MC DONALD'S","119 E CHAPMAN AVE","FULLERTON","CA",36,2043,33.874216,-117.923232,"Fast Food"
100136290,2023,"TACO BELL","131 E ORANGETHORPE AVE","FULLERTON","CA",28,1589,33.859836,-117.923129,"Fast Food"
100142249,2023,"MC DONALD'S","1341 S BROOKHURST RD","FULLERTON","CA",50,2837,33.858361,-117.959637,"Fast Food"
100144286,2023,"TACO BELL","23010 SUNNYMEAD BLVD","MORENO VALLEY","CA",26,1333,33.940002,-117.261065,"Fast Food"
100153030,2023,"WENDY'S","2810 IMPERIAL HWY","FULLERTON","CA",30,1702,33.910087,-117.881424,"Fast Food"
100159607,2023,"KFC","12861 HARBOR BLVD","GARDEN GROVE","CA",24,1362,33.77676,-117.916083,"Fast Food"
100160464,2023,"MC DONALD'S","12542 HARBOR BLVD","GARDEN GROVE","CA",35,1986,33.780932,-117.914425,"Fast Food"
100162684,2023,"RED LOBSTER","12892 HARBOR BLVD","GARDEN GROVE","CA",80,4539,33.775096,-117.917551,"Full-Service Restaurant"
100164086,2023,"WENDY'S","10040 CHAPMAN AVE","GARDEN GROVE","CA",20,1135,33.788329,-117.957829,"Fast Food"
100168004,2023,"MC DONALD'S","9845 CHAPMAN AVE","GARDEN GROVE","CA",57,3234,33.788896,-117.961165,"Fast Food"
100173996,2023,"CHUCK E CHEESE'S","13101 HARBOR BLVD # 25","GARDEN GROVE","CA",80,3775,33.772991,-117.921474,"Fast Food"
100174754,2023,"DENNY'S","13302 HARBOR BLVD","GARDEN GROVE","CA",40,2270,33.769595,-117.920048,"Full-Service Restaurant"
100190230,2023,"ARBY'S","19051 BROOKHURST ST","HUNTINGTON BEACH","CA",19,1078,33.685944,-117.954605,"Fast Food"
100191006,2023,"CARL'S JR","9022 ADAMS AVE","HUNTINGTON BEACH","CA",20,1135,33.671597,-117.970713,"Fast Food"
100202985,2023,"BURGER KING","16331 BEACH BLVD","HUNTINGTON BEACH","CA",17,965,33.724956,-117.989879,"Fast Food"
100194372,2023,"LITTLE CAESARS","9941 YORKTOWN AVE","HUNTINGTON BEACH","CA",17,965,33.680118,-117.954975,"Fast Food"
100195106,2023,"DEL TACO","21401 BROOKHURST ST","HUNTINGTON BEACH","CA",24,1362,33.651785,-117.954107,"Fast Food"
