"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
2022,"CA","California","Alameda",6001,6001406800,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",19.5,,,16.4,23,3569,2908,"POINT (-122.1949575 37.7978944)",6001406800,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Alameda",6001,6001408000,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",18.6,,,15.6,22,2630,2231,"POINT (-122.1828718 37.8029603)",6001408000,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Alameda",6001,6001421200,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",17.1,,,14.2,20.4,3657,3022,"POINT (-122.2746996 37.8963668)",6001421200,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Alameda",6001,6001422901,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",17,,,14.2,20.1,2322,2148,"POINT (-122.2678632 37.8657427)",6001422901,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Alameda",6001,6001436800,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",21.9,,,18.5,25.6,4341,3385,"POINT (-122.0944503 37.6535732)",6001436800,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Alameda",6001,6001440338,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",14.2,,,11.8,17.1,4305,3587,"POINT (-122.0142011 37.5882461)",6001440338,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Alameda",6001,6001441701,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",17.8,,,14.9,21,3846,2868,"POINT (-122.0150386 37.5479521)",6001441701,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Alameda",6001,6001450601,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",16.7,,,13.9,19.9,3480,2824,"POINT (-121.9307574 37.6532669)",6001450601,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Contra Costa",6013,6013303106,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",34,,,29,39.1,7021,5152,"POINT (-121.6618676 37.9366457)",6013303106,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Contra Costa",6013,6013303208,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",27.8,,,23.5,32.4,3955,3161,"POINT (-121.7305687 37.93548)",6013303208,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Contra Costa",6013,6013337100,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",28.4,,,24,33.1,3238,2678,"POINT (-122.01491 37.9572626)",6013337100,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Contra Costa",6013,6013340003,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",27.2,,,22.8,31.9,3644,2964,"POINT (-122.0889917 37.9182611)",6013340003,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Contra Costa",6013,6013352101,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",22.7,,,19,26.8,3344,2749,"POINT (-122.095332 37.8450705)",6013352101,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Contra Costa",6013,6013355118,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",29.1,,,24.7,33.8,4302,3386,"POINT (-121.8103813 37.961197)",6013355118,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Contra Costa",6013,6013359104,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",26.8,,,22.6,31.3,2116,1758,"POINT (-122.2780117 38.0095232)",6013359104,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Contra Costa",6013,6013389200,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",24.6,,,20.6,28.8,1907,1593,"POINT (-122.3052141 37.9010521)",6013389200,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Contra Costa",6013,6013390100,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",24.3,,,20.2,28.6,2376,1930,"POINT (-122.2934883 37.9139339)",6013390100,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Fresno",6019,6019004302,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",31.3,,,26.6,36.2,4918,4057,"POINT (-119.8330956 36.8318003)",6019004302,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Fresno",6019,6019005203,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",40,,,34.6,45.3,4628,3326,"POINT (-119.7634014 36.7832086)",6019005203,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Humboldt",6023,6023000100,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",35.6,,,28.6,42.7,4752,3900,"POINT (-124.1718104 40.8040475)",6023000100,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Humboldt",6023,6023010200,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",30.4,,,24.1,37.1,2921,2460,"POINT (-124.0324312 41.1893421)",6023010200,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Humboldt",6023,6023010300,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",30.6,,,24.2,37.4,3496,2897,"POINT (-123.8880328 40.9265216)",6023010300,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Humboldt",6023,6023011200,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",30.9,,,24.4,37.6,3275,2625,"POINT (-124.1963951 40.3609851)",6023011200,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Los Angeles",6037,6037104105,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",29.2,,,26.2,32.1,5999,4429,"POINT (-118.4046859 34.276148)",6037104105,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Los Angeles",6037,6037104404,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",32.4,,,29.2,35.5,3082,2273,"POINT (-118.4286916 34.2639207)",6037104404,"HLTHOUT","OBESITY","CrdPrv","Obesity"
2022,"CA","California","Los Angeles",6037,6037104821,"BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence",31,,,28,34,3498,2624,"POINT (-118.4162955 34.2465705)",6037104821,"HLTHOUT","OBESITY","CrdPrv","Obesity"
