"CountyName","LocationName","Data_Value","geometry"
"Alameda",6001406800,0.195,"POINT (-122.1949575 37.7978944)"
"Alameda",6001408000,0.186,"POINT (-122.1828718 37.8029603)"
"Alameda",6001421200,0.171,"POINT (-122.2746996 37.8963668)"
"Alameda",6001422901,0.17,"POINT (-122.2678632 37.8657427)"
"Alameda",6001436800,0.219,"POINT (-122.0944503 37.6535732)"
"Alameda",6001440338,0.142,"POINT (-122.0142011 37.5882461)"
"Alameda",6001441701,0.178,"POINT (-122.0150386 37.5479521)"
"Alameda",6001450601,0.167,"POINT (-121.9307574 37.6532669)"
"Contra Costa",6013303106,0.34,"POINT (-121.6618676 37.9366457)"
"Contra Costa",6013303208,0.278,"POINT (-121.7305687 37.93548)"
"Contra Costa",6013337100,0.284,"POINT (-122.01491 37.9572626)"
"Contra Costa",6013340003,0.272,"POINT (-122.0889917 37.9182611)"
"Contra Costa",6013352101,0.227,"POINT (-122.095332 37.8450705)"
"Contra Costa",6013355118,0.291,"POINT (-121.8103813 37.961197)"
"Contra Costa",6013359104,0.268,"POINT (-122.2780117 38.0095232)"
"Contra Costa",6013389200,0.246,"POINT (-122.3052141 37.9010521)"
"Contra Costa",6013390100,0.243,"POINT (-122.2934883 37.9139339)"
"Fresno",6019004302,0.313,"POINT (-119.8330956 36.8318003)"
"Fresno",6019005203,0.4,"POINT (-119.7634014 36.7832086)"
"Humboldt",6023000100,0.356,"POINT (-124.1718104 40.8040475)"
"Humboldt",6023010200,0.304,"POINT (-124.0324312 41.1893421)"
"Humboldt",6023010300,0.306,"POINT (-123.8880328 40.9265216)"
"Humboldt",6023011200,0.309,"POINT (-124.1963951 40.3609851)"
"Los Angeles",6037104105,0.292,"POINT (-118.4046859 34.276148)"
"Los Angeles",6037104404,0.324,"POINT (-118.4286916 34.2639207)"
"Los Angeles",6037104821,0.31,"POINT (-118.4162955 34.2465705)"
"Los Angeles",6037106010,0.267,"POINT (-118.4434033 34.3253415)"
"Los Angeles",6037111204,0.202,"POINT (-118.5471995 34.262647)"
"Los Angeles",6037113213,0.227,"POINT (-118.607847 34.2515)"
"Los Angeles",6037117405,0.356,"POINT (-118.4702311 34.2337311)"
"Los Angeles",6037120020,0.302,"POINT (-118.4548516 34.2188235)"
"Los Angeles",6037121210,0.27,"POINT (-118.4049441 34.241882)"
"Los Angeles",6037124500,0.268,"POINT (-118.4267703 34.1722741)"
"Los Angeles",6037127805,0.313,"POINT (-118.4576889 34.1921963)"
"Los Angeles",6037131024,0.267,"POINT (-118.539496 34.1966625)"
"Los Angeles",6037132502,0.275,"POINT (-118.5469513 34.1911391)"
"Los Angeles",6037139704,0.217,"POINT (-118.5137935 34.1351431)"
"Los Angeles",6037141101,0.235,"POINT (-118.4243044 34.151167)"
"Los Angeles",6037199120,0.304,"POINT (-118.1996896 34.0700703)"
"Los Angeles",6037201200,0.291,"POINT (-118.1785472 34.0887085)"
"Los Angeles",6037205110,0.353,"POINT (-118.2142985 34.0245059)"
"Los Angeles",6037206202,0.292,"POINT (-118.2403201 34.0467318)"
"Los Angeles",6037209103,0.386,"POINT (-118.2640302 34.05711)"
"Los Angeles",6037210010,0.31,"POINT (-118.2723098 34.0468502)"
"Los Angeles",6037211000,0.201,"POINT (-118.3317418 34.0677859)"
"Los Angeles",6037212502,0.21,"POINT (-118.3069674 34.0586417)"
"Los Angeles",6037221601,0.328,"POINT (-118.2959265 34.0348166)"
"Los Angeles",6037222600,0.27,"POINT (-118.295871 34.0218424)"
"Los Angeles",6037224410,0.266,"POINT (-118.2799794 34.0351369)"
"Los Angeles",6037231602,0.314,"POINT (-118.298033 34.0072718)"
"Los Angeles",6037232402,0.346,"POINT (-118.3135729 33.998535)"
"Los Angeles",6037242300,0.35,"POINT (-118.2461145 33.948506)"
"Los Angeles",6037265524,0.197,"POINT (-118.4453207 34.0508513)"
"Los Angeles",6037265601,0.216,"POINT (-118.4327259 34.0558599)"
"Los Angeles",6037271100,0.226,"POINT (-118.4268131 34.0339126)"
"Los Angeles",6037271901,0.207,"POINT (-118.4231336 34.0131825)"
"Los Angeles",6037275311,0.221,"POINT (-118.4233089 33.9882746)"
"Los Angeles",6037278102,0.215,"POINT (-118.4523916 33.9583368)"
"Los Angeles",6037293205,0.278,"POINT (-118.3038904 33.8183565)"
"Los Angeles",6037294510,0.34,"POINT (-118.271694 33.7865877)"
"Los Angeles",6037400207,0.231,"POINT (-117.7779112 34.1348083)"
"Los Angeles",6037400801,0.227,"POINT (-117.8808668 34.1368076)"
"Los Angeles",6037401602,0.268,"POINT (-117.7639868 34.1060811)"
"Los Angeles",6037402406,0.302,"POINT (-117.7827824 34.0670404)"
"Los Angeles",6037404701,0.266,"POINT (-117.9962625 34.0721312)"
"Los Angeles",6037405702,0.254,"POINT (-117.9121006 34.0921945)"
"Los Angeles",6037408003,0.235,"POINT (-117.9158494 34.045598)"
"Los Angeles",6037430600,0.152,"POINT (-118.0470542 34.1553775)"
"Los Angeles",6037431002,0.237,"POINT (-117.9844264 34.144709)"
"Los Angeles",6037433506,0.327,"POINT (-118.062176 34.0567584)"
"Los Angeles",6037463300,0.204,"POINT (-118.102524 34.1392218)"
"Los Angeles",6037480602,0.202,"POINT (-118.161353 34.1193308)"
"Los Angeles",6037480704,0.196,"POINT (-118.1537051 34.10578)"
"Los Angeles",6037481103,0.194,"POINT (-118.0983355 34.093458)"
"Los Angeles",6037481711,0.163,"POINT (-118.1198426 34.0661708)"
"Los Angeles",6037482102,0.174,"POINT (-118.1328703 34.050659)"
"Los Angeles",6037500700,0.303,"POINT (-118.0983071 34.0000986)"
"Los Angeles",6037503602,0.225,"POINT (-117.9990386 33.9114235)"
"Los Angeles",6037504101,0.281,"POINT (-118.033316 33.9099095)"
"Los Angeles",6037530301,0.318,"POINT (-118.155189 34.0294615)"
"Los Angeles",6037530603,0.295,"POINT (-118.1734507 34.053334)"
"Los Angeles",6037533401,0.31,"POINT (-118.1935822 33.993662)"
"Los Angeles",6037533806,0.322,"POINT (-118.170644 33.9704698)"
"Los Angeles",6037534302,0.349,"POINT (-118.1740888 33.9585722)"
"Los Angeles",6037535501,0.351,"POINT (-118.2221109 33.961166)"
"Los Angeles",6037535803,0.319,"POINT (-118.2100618 33.9480872)"
"Los Angeles",6037543322,0.299,"POINT (-118.2569604 33.8525481)"
"Los Angeles",6037550902,0.28,"POINT (-118.1251864 33.9477159)"
"Los Angeles",6037552002,0.272,"POINT (-118.0876278 33.9131184)"
"Los Angeles",6037554517,0.162,"POINT (-118.0548905 33.8623366)"
"Los Angeles",6037570504,0.328,"POINT (-118.1793689 33.8710042)"
"Los Angeles",6037571505,0.251,"POINT (-118.1723747 33.8472309)"
"Los Angeles",6037572201,0.26,"POINT (-118.1953378 33.81618)"
"Los Angeles",6037573201,0.308,"POINT (-118.1853159 33.800619)"
"Los Angeles",6037601001,0.338,"POINT (-118.3486875 33.9643251)"
"Los Angeles",6037601600,0.306,"POINT (-118.3638535 33.9348)"
"Los Angeles",6037603703,0.249,"POINT (-118.3395521 33.898257)"
"Los Angeles",6037604200,0.315,"POINT (-118.3311233 33.9314946)"
"Los Angeles",6037700901,0.22,"POINT (-118.3853968 34.064565)"
"Los Angeles",6037701402,0.236,"POINT (-118.503319 34.0190747)"
"Los Angeles",6037701602,0.235,"POINT (-118.4754273 34.0350094)"
"Los Angeles",6037901012,0.278,"POINT (-118.2243853 34.6784987)"
"Los Angeles",6037910214,0.264,"POINT (-118.1753866 34.595584)"
"Los Angeles",6037920039,0.26,"POINT (-118.4402442 34.4232114)"
"Los Angeles",6037920046,0.268,"POINT (-118.4492578 34.415428)"
"Los Angeles",6037920050,0.282,"POINT (-118.4200953 34.5455874)"
"Los Angeles",6037920339,0.206,"POINT (-118.613469 34.4144203)"
"Los Angeles",6037980033,0.414,"POINT (-118.2203101 33.7443155)"
"Madera",6039000513,0.319,"POINT (-120.1811155 36.9737665)"
"Mariposa",6043000101,0.312,"POINT (-120.1610355 37.5593266)"
"Mariposa",6043000200,0.325,"POINT (-120.1089266 37.6729487)"
"Mendocino",6045011003,0.276,"POINT (-123.7650258 39.3756995)"
"Mendocino",6045011800,0.31,"POINT (-123.1194447 38.9361372)"
"Merced",6047000403,0.334,"POINT (-120.8415795 37.4249828)"
"Merced",6047001801,0.25,"POINT (-120.4370181 37.3433213)"
"Monterey",6053000105,0.276,"POINT (-121.6399562 36.7114943)"
"Monterey",6053001400,0.315,"POINT (-121.6639509 36.6706218)"
"Monterey",6053010306,0.34,"POINT (-121.7175784 36.7510823)"
